half_life_days,friendly_weight,l2,log_loss,rps,total_goals_bias,n
730.0,1.0,0.25,0.9732519784545688,0.19047676384344744,-0.13481383042068468,839
1095.0,1.0,0.25,0.9739124226899347,0.1907944770956164,-0.13095646612947795,839
550.0,1.0,0.25,0.9742884044822171,0.19070521430785103,-0.13819760669993575,839
730.0,0.75,0.25,0.9746149182841487,0.19089940931195065,-0.14364017638652976,839
730.0,1.0,0.5,0.9750113518659859,0.1910648981088736,-0.13131054262170716,839
1460.0,1.0,0.25,0.9750809698697385,0.191217779148081,-0.12936001217300386,839
1095.0,1.0,0.5,0.975083848736677,0.19117052620333863,-0.128791441708176,839
1095.0,0.75,0.25,0.9752665939251024,0.19120837992242254,-0.138686425229278,839
550.0,0.75,0.25,0.9756884450292967,0.1911450541986712,-0.1477312587399965,839
1460.0,1.0,0.5,0.9759772838477471,0.19150010040889223,-0.1278638721730436,839
1460.0,0.75,0.25,0.9764207316699259,0.19162403485621526,-0.13642551447869758,839
550.0,1.0,0.5,0.9766060314741948,0.19150249151953408,-0.13323323889144925,839
1095.0,0.75,0.5,0.9768427330471862,0.1917160382586621,-0.13626469322433452,839
730.0,0.75,0.5,0.9770039598639101,0.19169440053697795,-0.13953374252280776,839
730.0,0.5,0.25,0.9771210079796426,0.19167133619345855,-0.15556317674027123,839
1095.0,0.5,0.25,0.9774840154655843,0.191880720823254,-0.14901102508926586,839
1460.0,0.75,0.5,0.9776344276579746,0.19200893525852467,-0.13472977757105095,839
1095.0,1.0,1.0,0.9777855885184739,0.19204896505287675,-0.1237451336939005,839
1460.0,1.0,1.0,0.9781298774009589,0.19218911285831733,-0.12412642219336315,839
550.0,0.5,0.25,0.9784618456855452,0.1920129764463636,-0.16072756637463503,839
1460.0,0.5,0.25,0.9785517845851641,0.1922647807481991,-0.1457736401655685,839
730.0,1.0,1.0,0.9787787493391885,0.19232231018465606,-0.12347897949663592,839
550.0,0.75,0.5,0.9787798621946061,0.19220182187231133,-0.14183491306435075,839
365.0,1.0,0.25,0.9797341258386973,0.19223335692231838,-0.14189273844027894,839
1095.0,0.5,0.5,0.9798040517882581,0.19263625957540204,-0.14615522780708845,839
1460.0,0.5,0.5,0.980314516870348,0.19283134256125123,-0.14383565685972927,839
1095.0,0.75,1.0,0.9803829663280168,0.192874229126134,-0.13029515520194052,839
1460.0,0.75,1.0,0.9804625528372238,0.19292192460305277,-0.1303157921336971,839
730.0,0.5,0.5,0.9806156918902093,0.19283906071090554,-0.15062000191346406,839
365.0,0.75,0.25,0.9810193324778784,0.19266487668042562,-0.15205659541235672,839
550.0,1.0,1.0,0.9811268704068061,0.19304479107292086,-0.12258905722925932,839
1095.0,0.25,0.25,0.9815949852317181,0.19312928944706817,-0.16369598193124696,839
730.0,0.75,1.0,0.9818074826726633,0.19330417265916924,-0.13023031858731698,839
1460.0,0.25,0.25,0.9822485582820836,0.1933761546937238,-0.1587765174813101,839
730.0,0.25,0.25,0.9823263269497632,0.1932859795069258,-0.17288586910503792,839
1460.0,1.0,2.0,0.9824950882763896,0.19361154859196458,-0.11577487568557342,839
365.0,1.0,0.5,0.9826736134273724,0.1933131430434121,-0.1339251592118009,839
550.0,0.5,0.5,0.9829127712004794,0.19353546182918976,-0.15354490171176383,839
1095.0,1.0,2.0,0.9829914690552135,0.19376340025923572,-0.11286568525431441,839
365.0,0.5,0.25,0.9841295241004087,0.19367897514605423,-0.16631810651203238,839
1460.0,0.5,1.0,0.9843123354592755,0.19413851872678753,-0.13850047357068015,839
550.0,0.75,1.0,0.9844410660623206,0.194135081364701,-0.12924870544649236,839
1095.0,0.5,1.0,0.9847550986256222,0.19427511291719182,-0.13889746152692614,839
550.0,0.25,0.25,0.9848905798643629,0.1940457901615186,-0.17996080143986537,839
365.0,0.75,0.5,0.9849068009051966,0.19406489648830533,-0.14256723543495334,839
730.0,1.0,2.0,0.9852460424195386,0.1944862293082784,-0.10765353660527333,839
1460.0,0.25,0.5,0.9853731144185545,0.1943973975296749,-0.15658527296164243,839
1095.0,0.25,0.5,0.9856834417438476,0.1944828074591449,-0.16022933527257713,839
1460.0,0.75,2.0,0.9859102781721484,0.194715170159205,-0.12038118163629816,839
1095.0,0.75,2.0,0.9867719370204808,0.19499639020004833,-0.11729247507427437,839
730.0,0.5,1.0,0.9871315981810685,0.19504058363582474,-0.13914246280572118,839
365.0,1.0,1.0,0.9877653728571086,0.1951300190013001,-0.11842423345149264,839
550.0,1.0,2.0,0.9882800134918277,0.1954691419886561,-0.10256261364277362,839
730.0,0.25,0.5,0.9883473079108366,0.1953220792467018,-0.16638182433420137,839
730.0,0.75,2.0,0.9895064937636278,0.195895054892915,-0.11158063200899955,839
365.0,0.5,0.5,0.9895858928173497,0.19561930878930636,-0.15464141100544965,839
1460.0,1.0,4.0,0.9896607760182369,0.19598089074029257,-0.09887080899981615,839
550.0,0.5,1.0,0.9903676921937504,0.19609149137504578,-0.13804382959119627,839
1095.0,1.0,4.0,0.9910137329248969,0.1964241941745897,-0.09212793528500515,839
365.0,0.75,1.0,0.991118449317422,0.19626553522214044,-0.12426195416887392,839
1460.0,0.5,2.0,0.9914705204103392,0.19652564575182396,-0.12620850510797715,839
1460.0,0.25,1.0,0.9917857776722896,0.19653214340010394,-0.1496566097692657,839
550.0,0.25,0.5,0.9923240522248551,0.19659656455273178,-0.17024336312534671,839
365.0,0.25,0.25,0.9925226722015235,0.19639607571313067,-0.18807389661835466,839
550.0,0.75,2.0,0.9927421692238496,0.1969582493847113,-0.1057428566484007,839
1095.0,0.5,2.0,0.9929391535432076,0.19702607919349718,-0.12300349501734516,839
1095.0,0.25,1.0,0.9934828950750331,0.19710717213328513,-0.15057264487917726,839
1460.0,0.75,4.0,0.9942604829407781,0.19749987807892186,-0.10047540114472957,839
730.0,1.0,4.0,0.9943661303128448,0.19752974134121232,-0.08036687988526657,839
365.0,1.0,2.0,0.9951954502584778,0.19772036500025236,-0.09199293817634868,839
1095.0,0.75,4.0,0.9958937437742849,0.19804780176142592,-0.09305889085067055,839
730.0,0.5,2.0,0.9964990722377778,0.19822414083450435,-0.1164742415963811,839
365.0,0.5,1.0,0.9974176433314761,0.19838605259312936,-0.13221209419304625,839
550.0,1.0,4.0,0.9979597355385277,0.1987161114285155,-0.07046967913505554,839
730.0,0.25,1.0,0.9980293247499257,0.19863095520746796,-0.15101220290166534,839
730.0,0.75,4.0,0.9995395670052094,0.19926225496347638,-0.07993909393853438,839
365.0,0.75,2.0,0.9995707607579759,0.19920253352685544,-0.09347793608938113,839
550.0,0.5,2.0,1.0001220141384728,0.19943323275288105,-0.10968317200849569,839
365.0,0.25,0.5,1.00101643386428,0.19939557036786226,-0.17216248692213662,839
1460.0,0.5,4.0,1.0013598249095752,0.19986243824899505,-0.10222453021719359,839
1460.0,0.25,2.0,1.001908699832962,0.19995880841708819,-0.13345202521657124,839
550.0,0.25,1.0,1.0027497871057733,0.2001999265181203,-0.14966820410032766,839
550.0,0.75,4.0,1.0031732222274643,0.20046739933719077,-0.06877523947836525,839
1095.0,0.5,4.0,1.0033852140352117,0.2005564001487585,-0.09390251201772062,839
1095.0,0.25,2.0,1.0045219460859571,0.20086832276062996,-0.12978906940759466,839
365.0,1.0,4.0,1.005233507295762,0.20112604691482436,-0.05400614066554805,839
365.0,0.5,2.0,1.006915652096809,0.20169035266128943,-0.09526634440210376,839
730.0,0.5,4.0,1.0073679872876198,0.20190029486861913,-0.07903357402740066,839
730.0,0.25,2.0,1.009613641114641,0.20261176539694203,-0.12200179326379584,839
365.0,0.75,4.0,1.0102333581723661,0.20281051488728072,-0.050031264503358756,839
550.0,0.5,4.0,1.0110201314243608,0.2031175313289058,-0.06620535425382693,839
365.0,0.25,1.0,1.01103360926876,0.20294413289440918,-0.14265736860373102,839
1460.0,0.25,4.0,1.0136811387703413,0.2039805648278537,-0.1034309054222378,839
550.0,0.25,2.0,1.0139123393209333,0.2040633586849395,-0.11379350655201423,839
1095.0,0.25,4.0,1.0161973743062978,0.20485951780498046,-0.09389449964189941,839
365.0,0.5,4.0,1.0177236523708675,0.20534401399636346,-0.04464271889658332,839
730.0,0.25,4.0,1.020429210736486,0.2063052445997165,-0.07655611389947177,839
365.0,0.25,2.0,1.0206654040347964,0.20633036228679263,-0.09672095265266752,839
550.0,0.25,4.0,1.0238486177675026,0.20745350734329998,-0.061610732005658364,839
365.0,0.25,4.0,1.02976876182215,0.2094240133304848,-0.0364101362330848,839
